,V1v,V1d,V2v,V2d,V3v,V3d,hV4,EBA,FBA-1,FBA-2,mTL-bodies,OFA,FFA-1,FFA-2,mTL-faces,aTL-faces,OPA,PPA,RSC,OWFA,VWFA-1,VWFA-2,mfs-words,mTL-words,early,midventral,midlateral,midparietal,ventral,lateral,parietal,All vertices,Unknown ROI,Unknown Stream,Unknown
DINOv2+DINOvv2+dinov2_transform+ridge,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
DINOv2l+15&16&17&18&19+dinov2_transform_V2+ridge,0.33994411934454866,0.39254106555274904,0.22632319948018104,0.24231459282246803,0.305559958035395,0.30905349456918896,0.4382617885007677,0.6547424871169197,,0.6231634440000408,,0.29830627662491116,0.48992563439340675,0.5859374219401465,,,0.6148432307799225,0.8354613801118493,0.840687127979715,0.30154883871808735,0.5766744679152453,0.5388858900630066,0.5859356608707634,,0.3158591717266881,0.3819143007440367,0.3997438508841249,0.42169478548318234,0.6741296498852081,0.6617858616261512,0.5057215104968837,0.4995492605636588,0.45879867503558885,0.3402453837705598,0.17340906899584324
DINOv2l+19&20&21+dinov2_transform_V2+ridge,0.3101684285446243,0.32127578727185446,0.20862361854150568,0.2360718920092736,0.24291220091885835,0.2635116301602987,0.3466681671180877,0.6676566452482604,,0.6704768653356594,,0.2829824982403303,0.4798536167279062,0.6447099488525312,,,0.6409153840680726,0.8623663634241504,0.8742646340868253,0.3062562834374803,0.6109929692211933,0.5990812803912727,0.6383858949960377,,0.2858294606253606,0.32259796862654166,0.3606057659783553,0.3531349453320415,0.7027438600977886,0.6756770043549449,0.538286694754593,0.5019845270538815,0.46844123641979907,0.30393287835566773,0.2850573007427698
RetinaNet+body.layer3.0.relu_2+imagenet_transform_alt+ridge,0.6727792409249714,0.7229357978484003,0.6088306113523876,0.6013937118877339,0.636503813527284,0.636409784304505,0.6081638972491556,0.44597417399761285,,0.43125278396441213,,0.4890123084362894,0.4466705594856224,0.4220857488443497,,,0.49033679829500476,0.6729998939469767,0.690506345127017,0.4624887263549571,0.4115441607478556,0.3754298068007844,0.43239459710779093,,0.6085961658999849,0.5455108038565086,0.5146702536997316,0.49245142880795145,0.49390463936207163,0.449254343773251,0.4127008142853304,0.5010364455542353,0.43758615864484024,0.619248685467856,0.19275352061337564
RetinaNet+body.layer3.5.relu_2+imagenet_transform_alt+ridge,0.6648556907595061,0.7192242451181875,0.6197207707742421,0.5920556704980247,0.6812476987436976,0.6461697396462096,0.6787472382918,0.5816971374372935,,0.5389064357637809,,0.5441321345235242,0.5526656821155688,0.5549443777193935,,,0.6235895648228706,0.7776384557930722,0.7659184099899607,0.5276223107884486,0.5247819459092442,0.4703823579379576,0.5332043125034012,,0.621244632788615,0.6088208642331802,0.5962028276531558,0.6045244667450168,0.6158571954010281,0.5854005391491887,0.5205213569155085,0.5995266517358053,0.5357986753822761,0.6365562477226621,0.2348341908945572
dino_res50+layer2.3.relu+dino_resnet50_preprocess+ridge,0.7237998372577772,0.7607428183560067,0.6113432690623832,0.6309933944608775,0.5822779337274936,0.6092270058123308,0.5136720835207507,0.31690906199089713,,0.3042032700446442,,0.3643273085495714,0.31004503585236415,0.27953684835736503,,,0.35411547351888206,0.5245378293881703,0.5522527170845655,0.32296173478451967,0.2779886633250977,0.2561663112794098,0.2931182227309742,,0.5984967179036803,0.46006634893096593,0.377350455321341,0.3657236745953228,0.35390888498557216,0.32312658289256274,0.2713518310774284,0.37751982460648803,0.3034805296601124,0.5732121750607446,0.13864706924344306
dino_res50+layer4.0.relu+dino_resnet50_preprocess+ridge,0.6478930632240372,0.6806912164106207,0.6047877180713543,0.5579421619610972,0.67013948472238,0.6245128408677585,0.6817505045226397,0.5989537988893948,,0.5643414540465809,,0.5478808310562175,0.5974759335176291,0.5901081487212623,,,0.6238885082344183,0.8064734806909185,0.7884182616530395,0.5507615505553086,0.5757651300658408,0.48128512769502463,0.5736265982055645,,0.5914691445870277,0.6216030564722143,0.5904282267380436,0.580792400439224,0.655139729924087,0.6006129664261135,0.5165703990100241,0.6046149102199383,0.5360619253152377,0.6083444065551951,0.24445743303397505
dino_res50+layer4.1.relu+dino_resnet50_preprocess+ridge,0.596299110241606,0.62468117709529,0.5280082332888241,0.4597191581725903,0.6289643945450385,0.5633344062087189,0.6751624120427417,0.6419439562549155,,0.6062472176354323,,0.518435427485729,0.6238530086516683,0.6179638424038625,,,0.6602335313343286,0.8366993083803804,0.8247299121266316,0.5317520426711819,0.605069250552145,0.5375202866143965,0.6213941321449389,,0.5375873335063763,0.6111855049506858,0.5735920219958079,0.6066200855067516,0.6847128447773827,0.6474640777869358,0.543274430952213,0.6202174821258362,0.5477699054564408,0.565625961274581,0.24440828143710763
