,V1v,V1d,V2v,V2d,V3v,V3d,hV4,EBA,FBA-1,FBA-2,mTL-bodies,OFA,FFA-1,FFA-2,mTL-faces,aTL-faces,OPA,PPA,RSC,OWFA,VWFA-1,VWFA-2,mfs-words,mTL-words,early,midventral,midlateral,midparietal,ventral,lateral,parietal,All vertices,Unknown ROI,Unknown Stream,Unknown
DINOv2+DINOvv2+dinov2_transform+ridge,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
DINOv2l+15&16&17&18&19+dinov2_transform_V2+ridge,0.39456605946029166,0.42017919248708857,0.39525213924564395,0.35083108769429566,0.40125040848339233,0.37230347986707707,0.4974839265080374,0.6101884359157694,0.6202510149273384,0.6978799431505558,0.5553865857183298,0.5954068671799434,0.6323474617558245,0.7054328724146244,,,0.5906125147062113,0.7381954660022552,0.7806463335174708,0.39929730713999895,0.5243140124615859,0.3313540468578814,0.6595233593332039,,0.3566452899860064,0.5121822294411654,0.4973516387949103,0.49674374680366284,0.6425018067295056,0.6134213411148437,0.5404867291940637,0.52465015063969,0.48197212231950454,0.37920318938891184,0.5257421581423513
DINOv2l+19&20&21+dinov2_transform_V2+ridge,0.3583144881312911,0.3781993181782567,0.3635688212199192,0.31346776924928577,0.3766307471295335,0.35082119677191637,0.46930804294165396,0.6396248427685076,0.6563058436731916,0.7144010551310169,0.596338595146902,0.6212376933649355,0.6303653671541857,0.7111780502329412,,,0.6118061378634514,0.7411739802786821,0.7829141335517568,0.40072784312387566,0.586761869431517,0.43376416657752337,0.6760137842835561,,0.32812470410856964,0.4889806482191754,0.5072703010387972,0.5015847576606978,0.659857975237703,0.644617768871518,0.5760482355148271,0.537110222935694,0.5145444344309684,0.35176623858392686,0.6377654537211112
RetinaNet+body.layer3.0.relu_2+imagenet_transform_alt+ridge,0.5621203631994454,0.5973843621209203,0.5848902842453783,0.528061135156971,0.540593696366196,0.5023919410734777,0.5607821413475254,0.3389455674245452,0.3178506020852695,0.3953367259441445,0.13044052621868896,0.4507443816372063,0.4392860968726451,0.4068371241960602,,,0.3496532461012416,0.51700665219869,0.4938974858428981,0.4323691894112337,0.24071878826706247,0.175678790412102,0.3996106988009319,,0.4935444968897822,0.508648794332416,0.4217807972207739,0.3544811853354266,0.4023475255508552,0.31713367783259644,0.26780286587665936,0.391668416450512,0.278387730397882,0.4870840441630697,0.324873469980582
RetinaNet+body.layer3.5.relu_2+imagenet_transform_alt+ridge,0.5521225288345284,0.6007215819382419,0.5982596171029891,0.5540417227946106,0.562257223849372,0.5363417659808223,0.597228704841585,0.4568212088684329,0.4024098708032038,0.5251319163638472,0.1867877298722593,0.5430503589787727,0.541407420100059,0.5436545690787339,,,0.491009652607324,0.6117369737587526,0.5549258671852851,0.46110625507734754,0.31555584706912027,0.268820033194177,0.4716141943553615,,0.5229996407026876,0.5630681897978494,0.49431270958278506,0.48560534386704773,0.5055483864115514,0.4332694773440846,0.37799987316815764,0.48297684890200554,0.37420033974266964,0.5274557182286748,0.4572905803741437
dino_res50+layer2.3.relu+dino_resnet50_preprocess+ridge,0.5710050326832576,0.6228187718032119,0.5930587970512695,0.5148091863991062,0.5188453955046731,0.4715415632929835,0.4746303043081799,0.19830174064427414,0.1899366359411935,0.2584660263283919,0.08069132200311518,0.29034177762598085,0.3033997511175519,0.2664798198616176,,,0.26327861966429456,0.3967113176421573,0.3454679988274004,0.3795735640544138,0.11357317750516646,0.10793654283155608,0.22278948226050874,,0.46137233875030237,0.4282775107698313,0.33702232997910236,0.2697751846328268,0.26583180827346004,0.18215572893569645,0.1399007570237784,0.26862874005425463,0.15354350003478362,0.42111901680358615,0.17390745039358085
dino_res50+layer4.0.relu+dino_resnet50_preprocess+ridge,0.534057375133696,0.5823370608243293,0.5790839021268318,0.520623506795353,0.5508338616884387,0.5183078335549405,0.5947623196613533,0.48032315446599927,0.4303771379536151,0.5620880596371736,0.19267369164006698,0.5431060055920504,0.5627869016416143,0.579581778806378,,,0.4930247318659197,0.6386371691532066,0.5993509559122991,0.48239718551458877,0.37220510241183175,0.29372137520089964,0.48439256951449583,,0.49699711730743723,0.5653340832802353,0.49712282135955244,0.47612949528360565,0.534569993192521,0.4612709734653151,0.394719586357563,0.4918544177739594,0.38962647262488076,0.5105369692475787,0.4465777512476432
dino_res50+layer4.1.relu+dino_resnet50_preprocess+ridge,0.4923870728635657,0.5340544947538369,0.5359737011936375,0.48282399102104795,0.5129461107156981,0.4660814037491589,0.5613820799800731,0.5343482550311601,0.49191185774245,0.6161920956002089,0.30035323640024914,0.5768291449264387,0.5827242061701167,0.6306328729236175,,,0.5281010166621164,0.6586960698504792,0.6614082557601069,0.4334137937370282,0.4122615700567889,0.41031243062419376,0.5274955333354052,,0.4668606829835327,0.5532551107233796,0.48697627055233245,0.50711884170962,0.5683289174010626,0.525760815320181,0.43502017347593086,0.508935551703759,0.4353784436437791,0.48945518761282236,0.5546996230504403
