,alpha_l,alpha_r
DINOv2+DINOvv2+dinov2_transform+ridge+2048+concat_pca,20000.0,20000.0
DINOv2l+15&16&17&18&19+dinov2_transform_V2+ridge+2048+concat_pca,10000.0,10000.0
DINOv2l+19&20&21+dinov2_transform_V2+ridge+2048+concat_pca,10000.0,10000.0
RetinaNet+body.layer3.0.relu_2&body.layer3.1.relu_2&body.layer3.2.relu_2&body.layer3.3.relu_2&body.layer3.4.relu_2&body.layer3.5.relu_2+imagenet_transform_alt+ridge+512+pca_concat,100000.0,100000.0
RetinaNet+body.layer3.0.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
RetinaNet+body.layer3.5.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,50000.0,50000.0
ViT_GPT2+decoder.8+ViT_GPT2_transform+ridge+2048+pca_concat,2000000.0,2000000.0
ViT_GPT2+decoder.9+ViT_GPT2_transform+ridge+2048+pca_concat,2000000.0,2000000.0
alexnet+features.1+imagenet_V2_transform+ridge+2048+concat_pca,2000000.0,2000000.0
alexnet+features.10&features.11&features.12+imagenet_V2_transform+ridge+2048+concat_pca,2000000.0,2000000.0
alexnet+features.12+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
dino_res50+layer1.2.relu&layer2.3.relu&layer3.5.relu&layer4.2.relu&avgpool+dino_resnet50_preprocess+ridge+512+pca_concat,100000.0,100000.0
dino_res50+layer2.3.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,1000000.0,1000000.0
dino_res50+layer3.0.relu&layer3.1.relu&layer3.2.relu&layer3.3.relu&layer3.4.relu&layer3.5.relu+dino_resnet50_preprocess+ridge+512+pca_concat,100000.0,100000.0
dino_res50+layer4.0.relu&layer4.1.relu&layer4.2.relu&avgpool+dino_resnet50_preprocess+ridge+512+pca_concat,100000.0,100000.0
dino_res50+layer4.0.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,100000.0,100000.0
dino_res50+layer4.1.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,50000.0,50000.0
