,V1v,V1d,V2v,V2d,V3v,V3d,hV4,EBA,FBA-1,FBA-2,mTL-bodies,OFA,FFA-1,FFA-2,mTL-faces,aTL-faces,OPA,PPA,RSC,OWFA,VWFA-1,VWFA-2,mfs-words,mTL-words,early,midventral,midlateral,midparietal,ventral,lateral,parietal,All vertices,Unknown ROI,Unknown Stream,Unknown
DINOv2+DINOvv2+dinov2_transform+ridge+2048+concat_pca,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
DINOv2l+15&16&17&18&19+dinov2_transform_V2+ridge+2048+concat_pca,0.4517614600166924,0.427284740406979,0.4239225703755855,0.3675960602888406,0.4136577229026987,0.3919422057666756,0.4951000403835284,0.6797086231193574,0.635156176465624,0.8066229010994115,,0.6512380331172789,0.7576144344506035,0.7361403459410039,,,0.6156708890347236,0.7225906847143819,0.7423698493291351,0.392991933813956,0.5666808465097931,0.5480699066853936,0.6484721166756161,,0.3672804676280452,0.5000313862896582,0.564765778079683,0.4624636826628631,0.6777246934902058,0.6634871065925586,0.5773822650864411,0.5510545650283739,0.5238509947072699,0.3883655838915588,0.3636240297399106
DINOv2l+19&20&21+dinov2_transform_V2+ridge+2048+concat_pca,0.4054031474438195,0.3885038274493476,0.3765444501762869,0.3351201551096867,0.3717776942991276,0.3589957835048623,0.4585445712906445,0.6845522391899389,0.6499902256112858,0.8137684696514266,,0.6401280366553843,0.7601617676077812,0.7400361639863551,,,0.6170514542628593,0.7206656234858689,0.7541786715148598,0.3607121201633843,0.571498096551139,0.5945511079487562,0.6332611558099298,,0.3311715697723717,0.4639166781820087,0.5529426613692223,0.4479258077452987,0.675373708178355,0.6724527257597146,0.580385489371096,0.5409620452595627,0.5167072492377183,0.3516260644572454,0.3527376215883195
RetinaNet+body.layer3.0.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,0.7365993771757956,0.7090733459494702,0.6751040295909757,0.6410651828961311,0.6110978042635149,0.5882109421822843,0.5497522516743367,0.3964136267093833,0.3697520168946673,0.4309363449912619,,0.5289522168826246,0.4486252048993019,0.3396567812116209,,,0.4359139130584682,0.5152447193449413,0.5343630552543882,0.5061902495583331,0.3522321448477749,0.1629120771995506,0.4727200095942675,,0.5951209970100062,0.5908164143296952,0.5475365629151074,0.4636879699241524,0.4513282485838852,0.3786952972444535,0.3724180688264636,0.4590275405558592,0.3996528762948702,0.5783491310783884,0.2180379822190366
RetinaNet+body.layer3.5.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,0.7188632000557014,0.6913564783673664,0.6741329105488509,0.6394080514442767,0.6165262579630437,0.5900486623817333,0.5706893924348432,0.5336096396090463,0.4386061732218316,0.6230802525939046,,0.5860944170322987,0.582175343600273,0.4911735771935206,,,0.5244611375893866,0.5815499640076659,0.5774732369225551,0.5250993204128642,0.4224742080209688,0.2446479569658828,0.5417643710175077,,0.59789506974863,0.6188726399929858,0.5856587512135326,0.544809120371812,0.5359790381594616,0.5089393031115765,0.4716113762568692,0.5411103669396855,0.4864132819483929,0.5898084017961558,0.2755005689392604
dino_res50+layer2.3.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,0.7686686236258322,0.7310143415699821,0.6588615207996866,0.5975209064055219,0.5376821095139026,0.5096183322864484,0.4280525689328319,0.2627735574907611,0.2495407371871451,0.2622385970779968,,0.3853177523035428,0.2877535184012265,0.1980180815090564,,,0.317921340429126,0.3833889587361698,0.3861689012727341,0.4151384431495251,0.2073239305371782,0.1167733276101447,0.3456243500768295,,0.546276614657585,0.4781551042260832,0.4259684427129813,0.337408419344505,0.3142498848108429,0.2480781902383684,0.2510169687958195,0.3357567542469684,0.2745054431980269,0.5002556175468985,0.2052010022649336
dino_res50+layer4.0.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,0.6960533193438277,0.6587349809777411,0.6532912813280277,0.6108317841983032,0.6136924912207197,0.5884874641974721,0.600956397650122,0.5686847870885711,0.4864801067799647,0.6545946955623888,,0.6205544810873134,0.6272097869455047,0.5467632188511933,,,0.5688018030554507,0.6351792893120838,0.5934895979103076,0.5484698512214374,0.464124330178201,0.2736878011096264,0.610538224624023,,0.5941807047166832,0.6353091002591655,0.623650011821751,0.5929343865445857,0.5934482881839329,0.5408027470882082,0.5214163512387138,0.5777599125277262,0.5374155995331735,0.590456393995854,0.3007290627391551
dino_res50+layer4.1.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,0.6725807550094943,0.6251281181687881,0.6433178312363848,0.5734565471682954,0.6041679226588269,0.5651794804677692,0.6113167194040601,0.6321493552721595,0.5351040723760516,0.7214473546396944,,0.653923127113536,0.6704367802280611,0.6183090520503076,,,0.6272454580259987,0.6885298658399226,0.6645936092425765,0.5299838577508489,0.5079322612400786,0.361661223067809,0.6312263141460068,,0.5643416148259501,0.6422575196461137,0.634893737648756,0.6268018034173743,0.6341662717805399,0.6046769709550722,0.5796982974398106,0.6069608010993893,0.5791120303949217,0.5739914466044931,0.2935997313932192
