,V1v,V1d,V2v,V2d,V3v,V3d,hV4,EBA,FBA-1,FBA-2,mTL-bodies,OFA,FFA-1,FFA-2,mTL-faces,aTL-faces,OPA,PPA,RSC,OWFA,VWFA-1,VWFA-2,mfs-words,mTL-words,early,midventral,midlateral,midparietal,ventral,lateral,parietal,All vertices,Unknown ROI,Unknown Stream,Unknown
DINOv2+DINOvv2+dinov2_transform+ridge+2048+concat_pca,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
DINOv2l+15&16&17&18&19+dinov2_transform_V2+ridge+2048+concat_pca,0.3399441193445486,0.392541065552749,0.226323199480181,0.242314592822468,0.305559958035395,0.3090534945691889,0.4382617885007677,0.6547424871169197,,0.6231634440000408,,0.2983062766249111,0.4899256343934067,0.5859374219401465,,,0.6148432307799225,0.8354613801118493,0.840687127979715,0.3015488387180873,0.5766744679152453,0.5388858900630066,0.5859356608707634,,0.3158591717266881,0.3819143007440367,0.3997438508841249,0.4216947854831823,0.6741296498852081,0.6617858616261512,0.5057215104968837,0.4995492605636588,0.4587986750355888,0.3402453837705598,0.1734090689958432
DINOv2l+19&20&21+dinov2_transform_V2+ridge+2048+concat_pca,0.3101684285446243,0.3212757872718544,0.2086236185415056,0.2360718920092736,0.2429122009188583,0.2635116301602987,0.3466681671180877,0.6676566452482604,,0.6704768653356594,,0.2829824982403303,0.4798536167279062,0.6447099488525312,,,0.6409153840680726,0.8623663634241504,0.8742646340868253,0.3062562834374803,0.6109929692211933,0.5990812803912727,0.6383858949960377,,0.2858294606253606,0.3225979686265416,0.3606057659783553,0.3531349453320415,0.7027438600977886,0.6756770043549449,0.538286694754593,0.5019845270538815,0.468441236419799,0.3039328783556677,0.2850573007427698
RetinaNet+body.layer3.0.relu_2&body.layer3.1.relu_2&body.layer3.2.relu_2&body.layer3.3.relu_2&body.layer3.4.relu_2&body.layer3.5.relu_2+imagenet_transform_alt+ridge+512+pca_concat,0.6878037912048779,0.74400014607703,0.6271197414740408,0.6105754466547513,0.6829174602785629,0.664211343098694,0.6676498447491206,0.5389819361326937,,0.505319181483949,,0.525367173964441,0.523784711567221,0.5146589265936063,,,0.5856930294202034,0.744450150459109,0.7385638548122608,0.5031823081100518,0.4889634130335594,0.4375335812185219,0.49134859736936987,,0.6285113657472314,0.5966969063505939,0.5791380000155817,0.572723993275752,0.5770767808557178,0.5410222518983012,0.4840303910551612,0.5722419554553364,0.5013646611942495,0.6418129728360447,0.2023299517349979
RetinaNet+body.layer3.0.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,0.6727792409249714,0.7229357978484003,0.6088306113523876,0.6013937118877339,0.636503813527284,0.636409784304505,0.6081638972491556,0.4459741739976128,,0.4312527839644121,,0.4890123084362894,0.4466705594856224,0.4220857488443497,,,0.4903367982950047,0.6729998939469767,0.690506345127017,0.4624887263549571,0.4115441607478556,0.3754298068007844,0.4323945971077909,,0.6085961658999849,0.5455108038565086,0.5146702536997316,0.4924514288079514,0.4939046393620716,0.449254343773251,0.4127008142853304,0.5010364455542353,0.4375861586448402,0.619248685467856,0.1927535206133756
RetinaNet+body.layer3.5.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,0.6648556907595061,0.7192242451181875,0.6197207707742421,0.5920556704980247,0.6812476987436976,0.6461697396462096,0.6787472382918,0.5816971374372935,,0.5389064357637809,,0.5441321345235242,0.5526656821155688,0.5549443777193935,,,0.6235895648228706,0.7776384557930722,0.7659184099899607,0.5276223107884486,0.5247819459092442,0.4703823579379576,0.5332043125034012,,0.621244632788615,0.6088208642331802,0.5962028276531558,0.6045244667450168,0.6158571954010281,0.5854005391491887,0.5205213569155085,0.5995266517358053,0.5357986753822761,0.6365562477226621,0.2348341908945572
ViT_GPT2+decoder.8+ViT_GPT2_transform+ridge+2048+pca_concat,0.5587927512394624,0.6234886876792956,0.46032687682067874,0.43265414967309046,0.5855831927806312,0.5437131642639298,0.6513396067402051,0.6589623795118944,,0.6254840100666003,,0.47201164977483545,0.588968899309145,0.5943098456939437,,,0.6626236662650244,0.8376233846082421,0.8374514025948665,0.46950779144022736,0.5933878543190341,0.5676320421834906,0.5876851924212636,,0.4952809481308756,0.5692355779958175,0.5677669175113609,0.5926280051876307,0.681225450218168,0.6625202928782781,0.541413499870325,0.6120211767912208,0.5350014477383596,0.5278915042967404,0.233592957705069
ViT_GPT2+decoder.9+ViT_GPT2_transform+ridge+2048+pca_concat,0.5108379879990979,0.5827512639425262,0.42737069248479526,0.3863138022815123,0.5360740839952951,0.5048447350499992,0.6219273181013929,0.6732022630029898,,0.6491732188123199,,0.4352373489925091,0.5645016105958662,0.5907463805720619,,,0.6663172567877071,0.8522448731879745,0.8509910241415575,0.43248148689168514,0.595306566241927,0.5838069270401686,0.5778661527659601,,0.4644723669679749,0.535644124460598,0.5398272173264774,0.5773658586300566,0.6875312717461901,0.6803684984741256,0.5487802311601961,0.6059083698803882,0.5345895381734311,0.49687107477031955,0.23921529695262767
ViT_GPT2+encoder.5+ViT_GPT2_transform+ridge+2048+pca_concat,0.6597367476722196,0.708121322125932,0.5698092021581088,0.5486958503011253,0.6461364337715718,0.6215420888699306,0.6682678430267854,0.5896761193894933,,0.5668004802297812,,0.4840686269060028,0.5549665285612237,0.5615805359566861,,,0.62876574084731,0.8076474174917221,0.8182270006415031,0.4744018920589385,0.5452416024025325,0.4916293368911488,0.5163917913892236,,0.5921066544073879,0.5784040392346976,0.5712334395935129,0.579039541729944,0.6368725306762457,0.5937466988944637,0.5028765460403393,0.5953190811646055,0.5187870223859514,0.6146930727500979,0.2692723257154818
ViT_GPT2+encoder.6+ViT_GPT2_transform+ridge+2048+pca_concat,0.6187444905984775,0.681206609969667,0.5268367805235896,0.4996393999604374,0.6268766014807596,0.600527202056035,0.6610935436593461,0.6058488620334309,,0.5778915760616534,,0.4743788956452319,0.5593180454883335,0.5691998071705648,,,0.6405754759095359,0.8121602633945345,0.8245464607047479,0.4671104084459753,0.5607742202954211,0.5066676842077535,0.5262836073155508,,0.555706266452843,0.5681461047779268,0.5708604789487373,0.5833013630686887,0.6491977477789184,0.6092083517989495,0.5071051416170603,0.5960108304932354,0.5174688203774978,0.5819605110162482,0.2300686894060374
