,alpha_l,alpha_r
resnet50+layer2.3.relu+imagenet_transform_alt+ridge+2048+concat_pca,1000000.0,1000000.0
resnet50+layer3.0.relu+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
resnet50+layer3.0.relu+imagenet_transform_alt+ridge+2048+concat_pca,1000000.0,1000000.0
resnet50+layer3.1.relu+imagenet_V2_transform+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.1.relu+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.2.relu+imagenet_V2_transform+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.2.relu+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.3.relu+imagenet_V2_transform+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.3.relu+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.4.relu+imagenet_V2_transform+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.4.relu+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.5.relu+imagenet_V2_transform+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer3.5.relu+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer4.0.relu+imagenet_V2_transform+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer4.0.relu+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
resnet50+layer4.1.relu+imagenet_V2_transform+ridge+2048+concat_pca,50000.0,50000.0
resnet50+layer4.1.relu+imagenet_transform_alt+ridge+2048+concat_pca,50000.0,50000.0
resnet50+layer4.2.relu+imagenet_V2_transform+ridge+2048+concat_pca,20000.0,20000.0
resnet50+layer4.2.relu+imagenet_transform_alt+ridge+2048+concat_pca,20000.0,20000.0
vgg16+avgpool+imagenet_V2_transform+ridge+2048+concat_pca,50000.0,50000.0
vgg16+avgpool+imagenet_transform_alt+ridge+2048+concat_pca,20000.0,20000.0
vgg19+avgpool+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
vgg19+avgpool+imagenet_transform_alt+ridge+2048+concat_pca,100000.0,100000.0
vgg19+features.33+imagenet_V2_transform+ridge+2048+concat_pca,2000000.0,2000000.0
vgg19+features.33+imagenet_transform_alt+ridge+2048+concat_pca,1000000.0,1000000.0
vgg19+features.35+imagenet_V2_transform+ridge+2048+concat_pca,1000000.0,1000000.0
vgg19+features.35+imagenet_transform_alt+ridge+2048+concat_pca,1000000.0,1000000.0
vgg19_bn+avgpool+imagenet_transform_alt+ridge+2048+concat_pca,20000.0,20000.0
vgg19_bn+features.42+imagenet_transform_alt+ridge+2048+concat_pca,10000.0,10000.0
vgg19_bn+features.45+imagenet_transform_alt+ridge+2048+concat_pca,10000.0,10000.0
vgg19_bn+features.51+imagenet_transform_alt+ridge+2048+concat_pca,50000.0,50000.0
