,V1v,V1d,V2v,V2d,V3v,V3d,hV4,EBA,FBA-1,FBA-2,mTL-bodies,OFA,FFA-1,FFA-2,mTL-faces,aTL-faces,OPA,PPA,RSC,OWFA,VWFA-1,VWFA-2,mfs-words,mTL-words,early,midventral,midlateral,midparietal,ventral,lateral,parietal,All vertices,Unknown ROI,Unknown Stream,Unknown
DINOv2+DINOvv2+dinov2_transform+ridge+2048+concat_pca,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
DINOv2l+15&16&17&18&19+dinov2_transform_V2+ridge+2048+concat_pca,0.3945660594602916,0.4201791924870885,0.3952521392456439,0.3508310876942956,0.4012504084833923,0.372303479867077,0.4974839265080374,0.6101884359157694,0.6202510149273384,0.6978799431505558,0.5553865857183298,0.5954068671799434,0.6323474617558245,0.7054328724146244,,,0.5906125147062113,0.7381954660022552,0.7806463335174708,0.3992973071399989,0.5243140124615859,0.3313540468578814,0.6595233593332039,,0.3566452899860064,0.5121822294411654,0.4973516387949103,0.4967437468036628,0.6425018067295056,0.6134213411148437,0.5404867291940637,0.52465015063969,0.4819721223195045,0.3792031893889118,0.5257421581423513
DINOv2l+19&20&21+dinov2_transform_V2+ridge+2048+concat_pca,0.3583144881312911,0.3781993181782567,0.3635688212199192,0.3134677692492857,0.3766307471295335,0.3508211967719163,0.4693080429416539,0.6396248427685076,0.6563058436731916,0.7144010551310169,0.596338595146902,0.6212376933649355,0.6303653671541857,0.7111780502329412,,,0.6118061378634514,0.7411739802786821,0.7829141335517568,0.4007278431238756,0.586761869431517,0.4337641665775233,0.6760137842835561,,0.3281247041085696,0.4889806482191754,0.5072703010387972,0.5015847576606978,0.659857975237703,0.644617768871518,0.5760482355148271,0.537110222935694,0.5145444344309684,0.3517662385839268,0.6377654537211112
RetinaNet+body.layer3.0.relu_2&body.layer3.1.relu_2&body.layer3.2.relu_2&body.layer3.3.relu_2&body.layer3.4.relu_2&body.layer3.5.relu_2+imagenet_transform_alt+ridge+512+pca_concat,0.5425241268017843,0.5764768557916504,0.5692652785764803,0.5178109080086328,0.5344002585230065,0.502693295305308,0.5708045777200836,0.3985120283728423,0.368045039415339,0.458740797308699,0.17878152880110548,0.4992542258987693,0.487563896905184,0.4618631291414406,,,0.41359633562482384,0.5546442742664859,0.547049006327776,0.4248794542467185,0.27818727133941634,0.25403831861394843,0.4219899583442002,,0.4935997144480877,0.5255420263060208,0.44553768916113423,0.410253267955101,0.4510116352331553,0.3778627918637129,0.33066344430952416,0.43461512749927234,0.33690709176907785,0.497813554821923,0.40226461976999023
RetinaNet+body.layer3.0.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,0.5621203631994454,0.5973843621209203,0.5848902842453783,0.528061135156971,0.540593696366196,0.5023919410734777,0.5607821413475254,0.3389455674245452,0.3178506020852695,0.3953367259441445,0.1304405262186889,0.4507443816372063,0.4392860968726451,0.4068371241960602,,,0.3496532461012416,0.51700665219869,0.4938974858428981,0.4323691894112337,0.2407187882670624,0.175678790412102,0.3996106988009319,,0.4935444968897822,0.508648794332416,0.4217807972207739,0.3544811853354266,0.4023475255508552,0.3171336778325964,0.2678028658766593,0.391668416450512,0.278387730397882,0.4870840441630697,0.324873469980582
RetinaNet+body.layer3.5.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,0.5521225288345284,0.6007215819382419,0.5982596171029891,0.5540417227946106,0.562257223849372,0.5363417659808223,0.597228704841585,0.4568212088684329,0.4024098708032038,0.5251319163638472,0.1867877298722593,0.5430503589787727,0.541407420100059,0.5436545690787339,,,0.491009652607324,0.6117369737587526,0.5549258671852851,0.4611062550773475,0.3155558470691202,0.268820033194177,0.4716141943553615,,0.5229996407026876,0.5630681897978494,0.494312709582785,0.4856053438670477,0.5055483864115514,0.4332694773440846,0.3779998731681576,0.4829768489020055,0.3742003397426696,0.5274557182286748,0.4572905803741437
ViT_GPT2+decoder.8+ViT_GPT2_transform+ridge+2048+pca_concat,0.4274036782852957,0.4791778106534119,0.5032495580481795,0.4261581103530808,0.466612012460349,0.4276111225431267,0.5385862990791035,0.43179838791817526,0.39800665744898756,0.5306997230671238,0.18668286147467766,0.4481027623800451,0.5200335028101757,0.5325001116622812,,,0.4912716328271575,0.6389877615941154,0.6139091928859064,0.33613957439725595,0.2611822541046761,0.14549197467583774,0.4452746578832679,,0.3927470908047864,0.46631909241384173,0.40565252187952155,0.4282608904681942,0.48142944027702883,0.4201148759423043,0.31426311048488165,0.4187170127381887,0.2951306966618654,0.41673975632505567,0.3563249844863957
ViT_GPT2+decoder.9+ViT_GPT2_transform+ridge+2048+pca_concat,0.40756170736279074,0.4559869517227591,0.4793908596508936,0.4019551233859353,0.44000510324792275,0.40155487071600876,0.5113418729002862,0.44420173156984244,0.4138619055041739,0.5408823443683757,0.22347813251401996,0.44222100630257966,0.513271612757544,0.5319179446083191,,,0.4988843259972613,0.6356893324734194,0.5447709218945745,0.32456487164812375,0.2906386873806688,0.16970098939647826,0.4553520540803203,,0.37575625699401444,0.45237164121316364,0.3949030837947068,0.42645257254226554,0.4834548235784262,0.4333472702718088,0.32226866717300634,0.4162560138239768,0.29889626184264584,0.3984018726999686,0.40102197088645697
dino_res50+layer1.2.relu&layer2.3.relu&layer3.5.relu&layer4.2.relu&avgpool+dino_resnet50_preprocess+ridge+512+pca_concat,0.5571773572443945,0.5933955625027878,0.5654173022725473,0.5104554232303424,0.5189121205414367,0.47658523146575527,0.5254541483378008,0.40081386758551607,0.3593456182928403,0.4832453065185871,0.20889841551072777,0.45893999233263755,0.4828739432504804,0.49400716452857885,,,0.4086523754275825,0.5418949452604364,0.5565406793988514,0.40273903629352265,0.25556823748460084,0.2683196351621313,0.4051328498418271,,0.4828051823077647,0.482930697024433,0.39401649040324177,0.416351074960461,0.44727625772045687,0.38495826154322194,0.31097510722721755,0.42561408325314204,0.31879278148404394,0.4927295324656763,0.4614344984032415
dino_res50+layer2.3.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,0.5710050326832576,0.6228187718032119,0.5930587970512695,0.5148091863991062,0.5188453955046731,0.4715415632929835,0.4746303043081799,0.1983017406442741,0.1899366359411935,0.2584660263283919,0.0806913220031151,0.2903417776259808,0.3033997511175519,0.2664798198616176,,,0.2632786196642945,0.3967113176421573,0.3454679988274004,0.3795735640544138,0.1135731775051664,0.107936542831556,0.2227894822605087,,0.4613723387503023,0.4282775107698313,0.3370223299791023,0.2697751846328268,0.26583180827346,0.1821557289356964,0.1399007570237784,0.2686287400542546,0.1535435000347836,0.4211190168035861,0.1739074503935808
dino_res50+layer3.0.relu&layer3.1.relu&layer3.2.relu&layer3.3.relu&layer3.4.relu&layer3.5.relu+dino_resnet50_preprocess+ridge+512+pca_concat,0.565006473881567,0.598887323012091,0.5930238103654779,0.5296047327522244,0.5620692973799615,0.5143388383751321,0.576817751847984,0.4276365063210366,0.39501044600492535,0.512821030850265,0.23581760162843587,0.5142916090958042,0.5251424473521963,0.5285732857176658,,,0.44403482824083784,0.5916787310298299,0.6004851261186661,0.44425638065217915,0.29910865872992476,0.3132742956192256,0.43737742918809314,,0.5098799460954708,0.5391798706930273,0.45821980148632535,0.43709599425089674,0.48950777691063585,0.410545435402711,0.3563939301636767,0.46263918318337965,0.36451683055449063,0.5207842099764106,0.4563472995518754
dino_res50+layer4.0.relu&layer4.1.relu&layer4.2.relu&avgpool+dino_resnet50_preprocess+ridge+512+pca_concat,0.5356956226189531,0.5943452645336091,0.5825229682931136,0.5275197735947605,0.5614979139015437,0.5248331959779103,0.6020158633053084,0.5367126923536536,0.5040732548566887,0.6230279759602777,0.2789869522146928,0.5695088236782575,0.5981541546604507,0.6331857173308716,,,0.5396822001008404,0.6778105319559901,0.6422725020291026,0.4849198182225957,0.43338779040236486,0.37913036597184385,0.5408743132121067,,0.5086693823525456,0.5825157421604678,0.5184737391908161,0.5118192314358092,0.5839761481980684,0.5229333891510023,0.43485312932884257,0.528269070705306,0.430077809383983,0.5252028422499762,0.5150091416510232
dino_res50+layer4.0.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,0.534057375133696,0.5823370608243293,0.5790839021268318,0.520623506795353,0.5508338616884387,0.5183078335549405,0.5947623196613533,0.4803231544659992,0.4303771379536151,0.5620880596371736,0.1926736916400669,0.5431060055920504,0.5627869016416143,0.579581778806378,,,0.4930247318659197,0.6386371691532066,0.5993509559122991,0.4823971855145887,0.3722051024118317,0.2937213752008996,0.4843925695144958,,0.4969971173074372,0.5653340832802353,0.4971228213595524,0.4761294952836056,0.534569993192521,0.4612709734653151,0.394719586357563,0.4918544177739594,0.3896264726248807,0.5105369692475787,0.4465777512476432
dino_res50+layer4.1.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,0.4923870728635657,0.5340544947538369,0.5359737011936375,0.4828239910210479,0.5129461107156981,0.4660814037491589,0.5613820799800731,0.5343482550311601,0.49191185774245,0.6161920956002089,0.3003532364002491,0.5768291449264387,0.5827242061701167,0.6306328729236175,,,0.5281010166621164,0.6586960698504792,0.6614082557601069,0.4334137937370282,0.4122615700567889,0.4103124306241937,0.5274955333354052,,0.4668606829835327,0.5532551107233796,0.4869762705523324,0.50711884170962,0.5683289174010626,0.525760815320181,0.4350201734759308,0.508935551703759,0.4353784436437791,0.4894551876128223,0.5546996230504403
