,alpha_l,alpha_r
DINOv2+DINOvv2+dinov2_transform+ridge+2048,20000.0,20000.0
DINOv2l+15&16&17&18&19+dinov2_transform_V2+ridge+2048,10000.0,10000.0
DINOv2l+19&20&21+dinov2_transform_V2+ridge+2048,10000.0,10000.0
RetinaNet+body.layer3.0.relu_2+imagenet_transform_alt+ridge+2048,50000.0,50000.0
RetinaNet+body.layer3.5.relu_2+imagenet_transform_alt+ridge+2048,20000.0,20000.0
dino_res50+layer2.3.relu+dino_resnet50_preprocess+ridge+2048,100000.0,100000.0
dino_res50+layer4.0.relu+dino_resnet50_preprocess+ridge+2048,100000.0,100000.0
dino_res50+layer4.1.relu+dino_resnet50_preprocess+ridge+2048,20000.0,20000.0
