,V1v,V1d,V2v,V2d,V3v,V3d,hV4,EBA,FBA-1,FBA-2,mTL-bodies,OFA,FFA-1,FFA-2,mTL-faces,aTL-faces,OPA,PPA,RSC,OWFA,VWFA-1,VWFA-2,mfs-words,mTL-words,early,midventral,midlateral,midparietal,ventral,lateral,parietal,All vertices,Unknown ROI,Unknown Stream,Unknown
DINOv2+DINOvv2+dinov2_transform+ridge+2048+concat_pca,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
DINOv2l+15&16&17&18&19+dinov2_transform_V2+ridge+2048+concat_pca,0.4517614600166924,0.427284740406979,0.4239225703755855,0.3675960602888406,0.4136577229026987,0.3919422057666756,0.4951000403835284,0.6797086231193574,0.635156176465624,0.8066229010994115,,0.6512380331172789,0.7576144344506035,0.7361403459410039,,,0.6156708890347236,0.7225906847143819,0.7423698493291351,0.392991933813956,0.5666808465097931,0.5480699066853936,0.6484721166756161,,0.3672804676280452,0.5000313862896582,0.564765778079683,0.4624636826628631,0.6777246934902058,0.6634871065925586,0.5773822650864411,0.5510545650283739,0.5238509947072699,0.3883655838915588,0.3636240297399106
DINOv2l+19&20&21+dinov2_transform_V2+ridge+2048+concat_pca,0.4054031474438195,0.3885038274493476,0.3765444501762869,0.3351201551096867,0.3717776942991276,0.3589957835048623,0.4585445712906445,0.6845522391899389,0.6499902256112858,0.8137684696514266,,0.6401280366553843,0.7601617676077812,0.7400361639863551,,,0.6170514542628593,0.7206656234858689,0.7541786715148598,0.3607121201633843,0.571498096551139,0.5945511079487562,0.6332611558099298,,0.3311715697723717,0.4639166781820087,0.5529426613692223,0.4479258077452987,0.675373708178355,0.6724527257597146,0.580385489371096,0.5409620452595627,0.5167072492377183,0.3516260644572454,0.3527376215883195
RetinaNet+body.layer3.0.relu_2&body.layer3.1.relu_2&body.layer3.2.relu_2&body.layer3.3.relu_2&body.layer3.4.relu_2&body.layer3.5.relu_2+imagenet_transform_alt+ridge+512+pca_concat,0.7396613358846444,0.7140604305390948,0.6878374838203503,0.6537815213341218,0.6214600763232013,0.5977179893582176,0.5614426494990988,0.48660164920589677,0.38531049973533504,0.5671840660072043,,0.557461489768146,0.5407516612225831,0.4132215425450714,,,0.47734490283319553,0.5452962884715906,0.5455920132795148,0.515813349715947,0.37363962420953184,0.19951469892089513,0.49700310877702714,,0.6071066377908658,0.6078985681575069,0.5642582173014742,0.5132008412525282,0.49667379277304047,0.4619342461843365,0.4160653571737433,0.5079109043609416,0.4441966279691822,0.5931468775532038,0.2730409735609606
RetinaNet+body.layer3.0.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,0.7365993771757956,0.7090733459494702,0.6751040295909757,0.6410651828961311,0.6110978042635149,0.5882109421822843,0.5497522516743367,0.3964136267093833,0.3697520168946673,0.4309363449912619,,0.5289522168826246,0.4486252048993019,0.3396567812116209,,,0.4359139130584682,0.5152447193449413,0.5343630552543882,0.5061902495583331,0.3522321448477749,0.1629120771995506,0.4727200095942675,,0.5951209970100062,0.5908164143296952,0.5475365629151074,0.4636879699241524,0.4513282485838852,0.3786952972444535,0.3724180688264636,0.4590275405558592,0.3996528762948702,0.5783491310783884,0.2180379822190366
RetinaNet+body.layer3.5.relu_2+imagenet_transform_alt+ridge+2048+concat_pca,0.7188632000557014,0.6913564783673664,0.6741329105488509,0.6394080514442767,0.6165262579630437,0.5900486623817333,0.5706893924348432,0.5336096396090463,0.4386061732218316,0.6230802525939046,,0.5860944170322987,0.582175343600273,0.4911735771935206,,,0.5244611375893866,0.5815499640076659,0.5774732369225551,0.5250993204128642,0.4224742080209688,0.2446479569658828,0.5417643710175077,,0.59789506974863,0.6188726399929858,0.5856587512135326,0.544809120371812,0.5359790381594616,0.5089393031115765,0.4716113762568692,0.5411103669396855,0.4864132819483929,0.5898084017961558,0.2755005689392604
ViT_GPT2+decoder.8+ViT_GPT2_transform+ridge+2048+pca_concat,0.6227394264467652,0.5628635384015996,0.5768156445780884,0.478092014185317,0.5240000924663255,0.4705216631804964,0.5315774790026006,0.6091439290347307,0.5112550794536905,0.7230486081467296,,0.6075885901858717,0.6573361124652652,0.6216460795694793,,,0.5819282440439404,0.6583803919886334,0.5920546036335482,0.4303387727907986,0.4842583421478938,0.3949241090331156,0.5886077304392202,,0.4606367475835399,0.5774859744488783,0.5192062783903945,0.5346902287623512,0.6026819121736889,0.5898623673092732,0.5106987231887954,0.5458449853779019,0.4884316835364182,0.4738682490149082,0.14249120434881807
ViT_GPT2+decoder.9+ViT_GPT2_transform+ridge+2048+pca_concat,0.5894513174261785,0.5289259365381669,0.5482303690272874,0.4468829867237992,0.49504184708222193,0.4431486447586968,0.5177172399331711,0.6213294571986901,0.5135370698221062,0.7397954699141254,,0.6055899927582782,0.663633819535461,0.6531215572337812,,,0.5847683382945246,0.6663806896000368,0.5962429104229012,0.4053989949487333,0.4836954200886603,0.41188620233470646,0.552197219314092,,0.4267585868469272,0.5592851358406722,0.5089538776580401,0.5298692878322522,0.6039946645642026,0.601762728402088,0.5092483336344539,0.541445111912487,0.4824901604171513,0.44621502498809373,0.1190265472670686
dino_res50+layer1.2.relu&layer2.3.relu&layer3.5.relu&layer4.2.relu&avgpool+dino_resnet50_preprocess+ridge+512+pca_concat,0.779049537756377,0.7535953878262037,0.6794431713454807,0.6481110825939752,0.6046079486106255,0.5753388055245098,0.5519334889173673,0.5285179412632609,0.4207471495757138,0.6459547670970323,,0.563985509172126,0.5817887277156414,0.5114347427462216,,,0.5117143419224466,0.6042398388476325,0.5613271105354861,0.5165372443479227,0.40076843354727526,0.26067628163640205,0.5279188535838124,,0.5918770500226489,0.590359996919305,0.5703447630081703,0.508213595131501,0.5374528883941718,0.5001698372364023,0.44267817144551136,0.53078611341201,0.45615654437698094,0.5808865194678989,0.2439360192640166
dino_res50+layer2.3.relu+dino_resnet50_preprocess+ridge+2048+concat_pca,0.7686686236258322,0.7310143415699821,0.6588615207996866,0.5975209064055219,0.5376821095139026,0.5096183322864484,0.4280525689328319,0.2627735574907611,0.2495407371871451,0.2622385970779968,,0.3853177523035428,0.2877535184012265,0.1980180815090564,,,0.317921340429126,0.3833889587361698,0.3861689012727341,0.4151384431495251,0.2073239305371782,0.1167733276101447,0.3456243500768295,,0.546276614657585,0.4781551042260832,0.4259684427129813,0.337408419344505,0.3142498848108429,0.2480781902383684,0.2510169687958195,0.3357567542469684,0.2745054431980269,0.5002556175468985,0.2052010022649336
