,alpha_l,alpha_r
alexnet+features.10&features.11&features.12,100000.0,100000.0
alexnet+features.1,100000.0,100000.0
alexnet+features.4,1000000.0,1000000.0
alexnet+features.7,100000.0,100000.0
alexnet+features.9,100000.0,100000.0
alexnet+features.11,100000.0,100000.0
DINOv2+DINOv2,20000.0,20000.0
